id	title	rank	probability
7215	Armeringsmontör	5183	0,9
8271	Aromblandare	5637	0,93
3473	Arrangör, klassisk musik	1158	0,074
3473	Arrangör, populärmusik	1158	0,074
3429	Arrangörsutvecklare	5982	0,94
6130	Arrendator, blandad drift	6270	0,95
6111	Arrendator, blandade växtslag	4803	0,87
7221	Arrendator, uppfödning, lantbrukets husdjur	6270	0,95
6111	Arrendator, växtodling	4803	0,87
5153	Arrestvakt	3322	0,6
3471	Art director 	1268	0,082
3473	Artist, populärmusik	1158	0,074
3429	Artistagent	5982	0,94
3429	Artistbokare	5982	0,94
3429	Artistförmedlare	5982	0,94
3429	Artistproducent	5982	0,94
3429	Artistutvecklare	5982	0,94
7143	Asbestsanerare	3652	0,69
8221	Asepttekniker	5183	0,9
8212	Asfaltarbetare, asfaltframställning	6995	0,97
7124	Asfaltarbetare, asfaltläggning	5570	0,92
8332	Asfaltarbetare, maskinförare	6270	0,95
7124	Asfaltisolerare	5570	0,92
8212	Asfaltkokare	6995	0,97
7124	Asfaltläggare	5570	0,92
8332	Asfaltmaskinförare	6270	0,95
8212	Asfaltmaskinist, asfaltframställning	6995	0,97
8332	Asfaltmaskinist, maskinförare	6270	0,95
8212	Asfaltverksmaskinist, asfaltframställning	6995	0,97
8332	Asfaltverksmaskinist, maskinförare	6270	0,95
8212	Asfaltverksskötare, asfaltframställning	6995	0,97
8332	Asfaltverksskötare, maskinförare	6270	0,95
2422	Assessor	3513	0,64
3471	Assistent, AD-	3331	0,61
5133	Assistent, ADL	3887	0,74
4140	Assistent, bibliotek	8403	0,99
4190	Assistent, bostadsförmedling	7685	0,98
4190	Assistent, inköp, orderbehandling	4956	0,88
2421	Assistentåklagare	775	0,035
3239	Astmasjuksköterska	838	0,038
3239	Astmasköterska	838	0,038
2111	Astronom	1376	0,1
2480	Asylhandläggare	2110	0,23
2221	AT-läkare	13	0,0042
2222	AT-tandläkare	1022	0,055
3471	Ateljédekoratör	3012	0,48
3131	Ateljéfotograf	512	0,021
7421	Ateljésnickare	3765	0,72
7433	Ateljésömmerska	4357	0,84
2111	Atomfysiker	1376	0,1
2480	Attaché	2110	0,23
9150	Attraktionsförare	6270	0,95
9150	Attraktionsvärd	6270	0,95
7422	Attributmakare	775	0,035
3476	Attributör	3331	0,61
2419	AU-chef	1472	0,13
9121	Au-pair	1319	0,084
2419	AU-utredare	1472	0,13
2221	Audiolog, medicinsk	13	0,0042
3134	Audiolog, teknisk	2789	0,35
3134	Audiologiingenjör	6995	0,97
5139	Audiometris	4610	0,86
3229	Audionom	125	0,0064
2429	Auditör	1033	0,06
3429	Auktionist	5982	0,94
9150	Auktionsbiträde	6995	0,97
3429	Auktionsförrättare	5982	0,94
3429	Auktionskommissarie	5982	0,94
9150	Auktionsmedhjälpare	6995	0,97
3429	Auktionsutropare	5982	0,94
9150	Auktionsvaktmästare	6995	0,97
2419	Auktoriserad fastighetsvärderare 	7685	0,98
3433	Auktoriserad redovisningskonsult	7685	0,98
2411	Auktoriserad revisor	8403	0,99
8150	Autoklavskötare, kemisk produktion	4550	0,85
8271	Autoklavskötare, livsmedel	5637	0,93
7241	Automationselektriker	5637	0,93
3114	Automationstekniker, el	4357	0,84
3114	Automationstekniker, elektronik	4357	0,84
8170	Automationstekniker, installation o. service industrirobotar	2804	0,36
3115	Automationstekniker, maskin	4095	0,81
7243	Automationstekniker, ospec	5361	0,91
8211	Automatpressare, metall	7685	0,98
9150	Automatpåfyllare, varuautomater m.m.	5982	0,94
9150	Automatskötare, varor	5982	0,94
8211	Automatskötare, verkstad	7685	0,98
8211	Automatställare	7685	0,98
8211	Automatsvarvare	7685	0,98
8211	Automatsvetsare	7685	0,98
7231	Autotekniker	5637	0,93
2455	AV-producent	2748	0,31
7123	AV-tekniker	7685	0,98
6130	Avbytare, blandad drift	6270	0,95
6111	Avbytare, blandade växter	4803	0,87
7221	Avbytare, djurskötsel	6270	0,95
6111	Avbytare, lantbruk	4803	0,87
4212	Avdelningschef, bank	7685	0,98
3415	Avdelningschef, företagsförsäljning	2245	0,25
5227	Avdelningschef, försäljning dagligvaror 	2648	0,28
5227	Avdelningschef, försäljning fackhandel 	1731	0,16
1233	Avdelningschef, försäljningschef, funktions- eller mellanchef	292	0,014
3431	Avdelningschef, landstingsförvaltning	2245	0,25
5227	Avdelningschef, partihandel	1731	0,16
5227	Avdelningschef, varuhus, försäljningsavdelning 	1731	0,16
3415	Avdelningschef, varuhus, platschef, funktions- eller mellanchef	1731	0,16
3415	Avdelningschef, varuhus, platschef, verksamhetsnära chef	1731	0,16
1318	Avdelningschef, vårdavdelning/mottagning, verksamhetsnära chef	158	0,0073
1318	Avdelningsföreståndare, vårdavdelning/mottagning, verksamhetsnära chef	158	0,0073
2221	Avdelningsläkare	13	0,0042
8223	Avfettare	5570	0,92
8125	Avgjutare	5361	0,91
3320	Aviatör	3197	0,55
7311	Avionikmekaniker	8403	0,99
8332	Avisare	6270	0,95
8332	Avisningsmaskinförare	6270	0,95
9142	Avlastningsförälder	3887	0,74
4120	Avlöningskontorist	6995	0,97
4120	Avlöningsuträknare	6995	0,97
5139	Avlösare	3887	0,74
9320	Avplockare, keramikbränning	5637	0,93
7413	Avsmakare	5982	0,94
2455	Avsnittsproducent	2748	0,31
